,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,GLP1,miR-101,1-SI1,,37.42,36.22,1.697,2.183E-03,-2.661,8.89E-03,9.48E-03,60.0,
,A02,SYBR,GLP1,miR-101,1-SI1,,35.02,36.22,1.697,1.559E-02,-1.807,8.89E-03,9.48E-03,60.0,
,A03,SYBR,GLP1,miR-116,2-SI1,,37.32,36.66,0.935,2.364E-03,-2.626,4.68E-03,3.27E-03,60.0,
,A04,SYBR,GLP1,miR-116,2-SI1,,36.00,36.66,0.935,6.986E-03,-2.156,4.68E-03,3.27E-03,60.0,
,A05,SYBR,GLP1,miR-132,3-SI1,,33.11,32.98,0.195,7.422E-02,-1.129,8.36E-02,1.33E-02,60.0,
,A06,SYBR,GLP1,miR-132,3-SI1,,32.84,32.98,0.195,9.303E-02,-1.031,8.36E-02,1.33E-02,60.0,
,A07,SYBR,GLP1,Neg Ctrl,,,N/A,0.00,0.000,N/A,N/A,0.00E+00,0.00E+00,60.0,
,A08,SYBR,GLP1,Neg Ctrl,,,N/A,0.00,0.000,N/A,N/A,0.00E+00,0.00E+00,60.0,
,A09,SYBR,PYY,miR-201,1-SI1,,31.74,31.82,0.111,3.575E-01,-0.447,3.38E-01,2.70E-02,60.0,
,A10,SYBR,PYY,miR-201,1-SI1,,31.89,31.82,0.111,3.193E-01,-0.496,3.38E-01,2.70E-02,60.0,
,A11,SYBR,PYY,miR-216,2-SI1,,33.28,33.44,0.227,1.169E-01,-0.932,1.05E-01,1.71E-02,60.0,
,A12,SYBR,PYY,miR-216,2-SI1,,33.60,33.44,0.227,9.269E-02,-1.033,1.05E-01,1.71E-02,60.0,
,A13,SYBR,PYY,miR-232,3-SI1,,30.55,30.62,0.100,8.450E-01,-0.073,8.04E-01,5.79E-02,60.0,
,A14,SYBR,PYY,miR-232,3-SI1,,30.69,30.62,0.100,7.632E-01,-0.117,8.04E-01,5.79E-02,60.0,
,A15,SYBR,PYY,Neg Ctrl,,,N/A,0.00,0.000,N/A,N/A,0.00E+00,0.00E+00,60.0,
,A16,SYBR,PYY,Neg Ctrl,,,N/A,0.00,0.000,N/A,N/A,0.00E+00,0.00E+00,60.0,
,A17,SYBR,TFF1,miR-301,1-SI1,,32.69,32.41,0.387,2.015E+00,0.304,2.53E+00,7.23E-01,60.0,
,A18,SYBR,TFF1,miR-301,1-SI1,,32.14,32.41,0.387,3.037E+00,0.482,2.53E+00,7.23E-01,60.0,
,A19,SYBR,TFF1,miR-316,2-SI1,,32.49,32.84,0.492,2.335E+00,0.368,1.86E+00,6.71E-01,60.0,
,A20,SYBR,TFF1,miR-316,2-SI1,,33.19,32.84,0.492,1.386E+00,0.142,1.86E+00,6.71E-01,60.0,
